subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime,attention
5,SB,B,S,True,True,False,20,700.0,
5,SB,S,B,True,True,False,21,516.6666666666667,
5,SB,S,S,False,True,False,22,500.00000000000006,
5,BS,B,S,True,True,False,23,700.0,
5,SB,B,B,False,True,False,24,816.6666666666667,
5,BS,S,S,False,True,False,25,566.6666666666667,
5,SB,S,B,True,True,False,26,533.3333333333334,
5,SB,B,S,True,True,False,27,516.6666666666667,
5,SB,S,S,False,True,False,28,616.6666666666667,
5,BS,S,S,False,True,False,29,533.3333333333334,
5,BS,B,S,True,True,False,30,616.6666666666667,
5,BS,S,B,True,True,False,31,516.6666666666667,
5,SB,B,S,True,True,False,32,900.0000000000001,
5,BS,B,B,False,True,False,33,833.3333333333334,
5,SB,B,S,True,True,False,34,683.3333333333334,
5,SB,S,S,False,True,False,35,600.0,
5,SB,B,B,False,True,False,36,783.3333333333334,
5,BS,S,S,False,True,False,37,750.0,
5,BS,B,S,True,True,False,38,633.3333333333334,
5,SB,S,B,True,True,False,39,633.3333333333334,100.0
6,BS,B,B,False,False,True,0,950.0,
6,SB,S,B,True,False,True,1,950.0,
6,SB,B,S,True,False,True,2,950.0,
6,SB,B,B,False,False,True,3,950.0,
6,BS,B,B,False,False,True,4,950.0,
6,SB,S,B,True,True,False,5,516.6666666666667,
6,SB,B,S,True,True,False,6,583.3333333333334,
6,SB,B,B,False,True,False,7,550.0,
6,BS,S,B,True,True,False,8,683.3333333333334,
6,BS,S,S,False,True,False,9,433.33333333333337,
6,BS,S,B,True,True,False,10,783.3333333333334,
6,SB,S,B,True,True,False,11,616.6666666666667,
6,SB,S,S,False,True,False,12,466.6666666666667,
6,BS,B,B,False,True,False,13,550.0,
6,SB,B,B,False,True,False,14,416.6666666666667,
6,SB,B,S,True,True,False,15,500.00000000000006,
6,BS,S,B,True,True,False,16,583.3333333333334,
6,BS,B,S,True,True,False,17,366.6666666666667,
6,BS,B,B,False,False,False,18,450.00000000000006,
6,SB,B,B,False,True,False,19,566.6666666666667,
6,SB,S,S,False,True,False,20,516.6666666666667,
6,SB,S,B,True,True,False,21,583.3333333333334,
6,SB,B,S,True,True,False,22,466.6666666666667,
6,BS,S,B,True,True,False,23,533.3333333333334,
6,SB,B,B,False,True,False,24,633.3333333333334,
6,BS,B,B,False,True,False,25,566.6666666666667,
6,SB,S,B,True,True,False,26,533.3333333333334,
6,BS,S,S,False,True,False,27,600.0,
6,BS,S,B,True,True,False,28,533.3333333333334,
6,SB,B,B,False,True,False,29,466.6666666666667,
6,BS,S,S,False,True,False,30,483.33333333333337,
6,BS,B,B,False,True,False,31,466.6666666666667,
6,BS,B,S,True,True,False,32,500.00000000000006,
6,SB,S,B,True,True,False,33,500.00000000000006,
6,BS,S,B,True,True,False,34,500.00000000000006,
6,SB,S,S,False,True,False,35,483.33333333333337,
6,SB,B,B,False,True,False,36,533.3333333333334,
