subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime
4,SB,S,B,True,False,True,5,1983.3333333333333
4,BS,B,B,False,True,False,6,1366.6666666666667
4,SB,S,S,False,True,False,7,1066.6666666666667
4,BS,B,B,False,True,False,8,966.6666666666669
4,SB,S,S,False,True,False,9,900.0000000000001
4,SB,B,S,True,True,False,10,1050.0
4,BS,S,B,True,True,False,11,1600.0
4,SB,B,B,False,True,False,12,1250.0
4,BS,S,S,False,False,False,13,1050.0
4,SB,S,B,True,True,False,14,1450.0
4,BS,B,S,True,True,False,15,1200.0
4,BS,S,S,False,True,False,16,1216.6666666666667
4,SB,S,B,True,True,False,17,1083.3333333333337
4,SB,B,S,True,True,False,18,1833.3333333333333
4,BS,S,B,True,False,True,19,1983.3333333333333
4,SB,B,B,False,True,False,20,1133.3333333333337
4,BS,B,B,False,True,False,21,1583.3333333333337
4,SB,S,S,False,True,False,22,1133.3333333333337
4,BS,B,S,True,True,False,23,1100.0
4,BS,B,B,False,False,True,24,1983.3333333333333
4,BS,B,S,True,True,False,25,1000.0
4,SB,S,S,False,True,False,26,1016.6666666666669
4,SB,B,B,False,True,False,27,1000.0
4,SB,B,S,True,True,False,28,1533.3333333333337
4,SB,S,B,True,True,False,29,1150.0
4,BS,S,S,False,False,True,30,1983.3333333333333
4,BS,S,B,True,True,False,31,1283.3333333333337
4,BS,B,S,True,True,False,32,1216.6666666666667
4,SB,B,S,True,False,True,33,1983.3333333333333
4,BS,B,B,False,True,False,34,1516.6666666666667
4,SB,B,B,False,True,False,35,1666.6666666666667
4,SB,S,S,False,False,True,36,1983.3333333333333
4,SB,S,B,True,False,False,37,1416.6666666666667
4,BS,S,B,True,True,False,38,1533.3333333333337
4,BS,S,S,False,True,False,39,883.3333333333334
5,SB,S,S,False,False,False,0,1550.0
5,BS,B,S,True,False,False,1,283.33333333333337
5,BS,B,B,False,True,False,2,1316.6666666666667
5,SB,S,B,True,False,True,3,1983.3333333333333
5,BS,S,B,True,False,True,4,1983.3333333333333
5,BS,S,S,False,False,True,5,1983.3333333333333
5,SB,B,S,True,False,True,6,1983.3333333333333
5,SB,B,B,False,True,False,7,1516.6666666666667
5,SB,S,B,True,False,False,8,133.33333333333334
5,BS,S,S,False,True,False,9,1650.0000000000002
5,SB,B,S,True,False,True,10,1983.3333333333333
5,SB,B,B,False,True,False,11,16.666666666666668
5,SB,S,S,False,False,True,12,1983.3333333333333
5,BS,B,S,True,False,True,13,1983.3333333333333
5,BS,B,B,False,False,True,14,1983.3333333333333
5,BS,S,B,True,False,True,15,1983.3333333333333
5,BS,B,B,False,False,True,16,1983.3333333333333
5,BS,B,S,True,False,True,17,1983.3333333333333
5,SB,B,S,True,False,True,18,1983.3333333333333
5,BS,S,B,True,False,False,19,166.66666666666669
5,SB,B,B,False,False,True,20,1983.3333333333333
